Mudah Property Type,Standardized Property Type
Condominium,Condominium
Service Residence,Condominium
Apartment,Apartment
Apartment / Flat,Apartment
Flat,Apartment
Studio,Apartment
Duplex,Apartment
Townhouse Condo,Condominium
Condo / Services residence / Penthouse / Townhouse,Condominium
2-storey Terraced House,Terraced House
1-storey Terraced House,Terraced House
3-storey Terraced House,Terraced House
2.5-storey Terraced House,Terraced House
1.5-storey Terraced House,Terraced House
3.5-storey Terraced House,Terraced House
Terraced House,Terraced House
Semi-Detached House,Semi-Detached
Bungalow House,Bungalow
Link Bungalow,Bungalow
Zero-Lot Bungalow,Bungalow
Twin Courtyard Villa,Bungalow
Twin Villas,Bungalow
Townhouse,Townhouse
Cluster House,Cluster House
Houses,House
Residential,House
Shoplot,Shoplot
Shop lot,Shoplot
Sharing a house / Flat,Room
Others,Other
